Code,Name,Population
S13003111,Hamilton North and East,"15,004"
S13003113,Hamilton South,"22,252"
S13003112,Hamilton West and Earnock,"18,557"
S13002770,Hawick and Denholm,"9,194"
S13002771,Hawick and Hermitage,"8,530"
S13002844,Hazlehead/Queens Cross/Countesswells,"21,198"
S13003028,Heldon and Laich,"14,652"
S13002525,Helensburgh Central,"8,605"
S13002526,Helensburgh and Lomond South,"7,650"
S13003066,Highland,"9,363"
S13002977,Hillhead,"25,371"
S13002839,Hilton/Woodside/Stockethill,"15,725"
S13003084,"Houston, Crosslee and Linwood","19,996"
S13002960,Howe of Fife and Tay Coast,"13,383"
S13002861,"Huntly, Strathbogie and Howe of Alford","16,629"
S13003013,Inverclyde Central,"11,754"
S13003011,Inverclyde East,"11,285"
S13003012,Inverclyde East Central,"9,321"
S13003014,Inverclyde North,"13,424"
S13003017,Inverclyde South,"9,002"
S13003016,Inverclyde South West,"11,580"
S13003015,Inverclyde West,"10,334"
S13002950,Inverkeithing and Dalgety Bay,"17,678"
S13002923,Inverleith,"34,558"
S13003003,Inverness Central,"12,577"
S13003005,Inverness Millburn,"10,730"
S13003004,Inverness Ness-side,"10,884"
S13003008,Inverness South,"16,322"
S13003002,Inverness West,"9,633"
S13002858,Inverurie and District,"16,221"
S13003033,Irvine East,"12,537"
S13003041,Irvine South,"10,887"
S13002897,Irvine Valley,"12,129"
S13003032,Irvine West,"14,972"
S13002523,Isle of Bute,"6,021"
S13002769,Jedburgh and District,"9,231"
S13003083,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch","14,656"
S13003082,Johnstone South and Elderslie,"15,973"
S13003025,Keith and Cullen,"9,364"
S13002768,Kelso and District,"10,201"
S13002895,Kilmarnock East and Hurlford,"15,570"
S13002893,Kilmarnock North,"12,243"
S13002896,Kilmarnock South,"10,866"
S13002894,Kilmarnock West and Crosshouse,"17,739"
S13003125,Kilpatrick,"12,163"
S13003042,Kilsyth,"14,289"
S13003034,Kilwinning,"17,280"
S13002847,Kincorth/Nigg/Cove,"16,987"
S13002837,Kingswells/Sheddocksley/Summerhill,"15,619"
S13003132,Kinross-shire,"14,945"
S13002517,Kintyre and the Islands,"6,623"
S13002955,Kirkcaldy Central,"14,021"
S13002956,Kirkcaldy East,"15,251"
S13002954,Kirkcaldy North,"16,188"
S13002907,Kirkintilloch East and North and Twechar,"18,518"
S13003151,Kirkwall East,"4,823"
S13003152,Kirkwall West and Orphir,"4,018"
S13002867,Kirriemuir and Dean,"10,646"
S13003092,Kyle,"14,546"
S13002973,Langside,"30,528"
S13003114,Larkhall,"18,658"
S13002765,Leaderdale and Melrose,"10,995"
S13002931,Leith,"24,544"
S13002930,Leith Walk,"35,426"
S13002906,Lenzie and Kirkintilloch South,"13,545"
S13002777,Lerwick North and Bressay,"2,084"
S13003153,Lerwick South,"4,764"
S13003123,Leven,"19,003"
S13002965,"Leven, Kennoway and Largo","19,595"
S13002934,Liberton/Gilmerton,"36,997"
S13002820,Linlithgow,"16,534"
S13002967,Linn,"29,208"
S13002822,Livingston North,"23,491"
S13002823,Livingston South,"24,559"
S13003136,Loch a Tuath,"2,654"
S13002887,Lochar,"12,270"
S13002546,Lochee,"20,096"
S13003130,"Lochgelly, Cardenden and Benarty","19,248"
S13003122,Lomond,"11,042"
S13002524,Lomond North,"9,579"
S13002943,Lower Braes,"15,465"
S13002843,Lower Deeside,"17,351"
S13002549,Maryfield,"18,393"
S13002981,Maryhill,"22,448"
S13003093,"Maybole, North Carrick and Coylton","12,394"
S13002866,Mearns,"15,146"
S13002518,Mid Argyll,"7,456"
S13002766,Mid Berwickshire,"10,626"
S13002855,Mid Formartine,"16,279"
S13002881,Mid Galloway and Wigtown West,"13,461"
S13002886,Mid and Upper Nithsdale,"10,448"
S13003022,Midlothian East,"16,282"
S13003023,Midlothian South,"14,485"
S13003021,Midlothian West,"16,790"
S13002841,Midstocket/Rosemount,"14,337"
S13002901,Milngavie,"13,536"
S13002870,Monifieth and Sidlaw,"16,392"
S13002874,Montrose and District,"15,686"
S13002928,Morningside,"31,379"
S13003057,Mossend and Holytown,"13,152"
S13003059,Motherwell North,"18,080"
S13003060,Motherwell South East and Ravenscraig,"18,456"
S13003058,Motherwell West,"14,326"
S13003061,Murdostoun,"20,888"
S13002908,Musselburgh,"18,826"
S13003137,Na Hearadh,"1,795"
S13003007,Nairn and Cawdor,"13,670"
S13002968,Newlands/Auldburn,"23,416"
S13002915,Newton Mearns North and Neilston,"17,041"
S13002918,Newton Mearns South and Eaglesham,"23,150"
S13002888,Nith,"13,335"
S13002911,North Berwick Coastal,"14,770"
S13003148,North Coast,"21,188"
S13002830,North East,"16,190"
S13003133,North East,"21,080"
S13002737,North Isles,"2,272"
S13002772,North Isles,"2,607"
S13002864,North Kincardine,"16,042"
S13002885,North West Dumfries,"14,705"
S13002990,"North, West and Central Sutherland","5,706"
S13002838,Northfield/Mastrick North,"16,305"
S13002520,Oban North and Lorn,"9,652"
S13002519,Oban South and the Isles,"10,356"
S13003079,Paisley East and Central,"12,221"
S13003077,Paisley Northeast and Ralston,"12,684"
S13003078,Paisley Northwest,"17,140"
S13003080,Paisley Southeast,"12,832"
S13003081,Paisley Southwest,"16,305"
S13002989,Partick East/Kelvindale,"31,615"
S13003018,Penicuik,"13,486"
S13002920,Pentland Hills,"32,219"
S13003074,Perth City Centre,"18,041"
S13003073,Perth City North,"12,318"
S13003072,Perth City South,"15,825"
S13002852,Peterhead North and Rattray,"14,194"
S13002853,Peterhead South and Cruden,"13,363"
S13002972,Pollokshields,"28,508"
S13002935,Portobello/Craigmillar,"33,925"
S13002909,"Preston, Seton and Gosford","17,676"
S13003088,Prestwick,"14,220"
S13003075,Renfrew North and Braehead,"17,909"
S13003076,Renfrew South and Gallowhill,"12,166"
S13002949,Rosyth,"15,723"
S13003106,Rutherglen Central and North,"14,237"
S13003105,Rutherglen South,"15,322"
S13003149,Saltcoats and Stevenston,"21,925"
S13002764,Selkirkshire,"9,716"
S13003139,Sgìre an Rubha,"2,158"
S13003140,Sgìre nan Loch,"1,793"
S13003138,Sgìr’ Ùige agus Càrlabhagh,"1,820"
S13003154,Shetland Central,"4,398"
S13002773,Shetland North,"3,251"
S13003155,Shetland South,"4,494"
S13003156,Shetland West,"1,342"
S13002985,Shettleston,"26,627"
S13002925,Sighthill/Gorgie,"33,639"
S13002516,South Kintyre,"5,953"
S13002974,Southside Central,"27,935"
S13002933,Southside/Newington,"36,577"
S13003024,Speyside Glenlivet,"9,096"
S13002983,Springburn/Robroyston,"28,865"
S13002962,St Andrews,"18,282"
S13003134,"Stepps, Chryston and Muirhead","12,486"
S13003141,Steòrnabhagh a Deas,"4,013"
S13003142,Steòrnabhagh a Tuath,"3,748"
S13003120,Stirling East,"11,170"
S13003118,Stirling North,"15,885"
S13003119,Stirling West,"12,910"
S13002865,Stonehaven and Lower Deeside,"14,436"
S13002880,Stranraer and the Rhins,"14,821"
S13003069,Strathallan,"12,191"
S13003068,Strathearn,"11,014"
S13002545,Strathmartine,"19,563"
S13003064,Strathmore,"15,728"
S13003067,Strathtay,"13,213"
S13002734,Stromness and South Isles,"2,658"
S13002996,Tain and Easter Ross,"9,114"
S13002961,Tay Bridgehead,"16,205"
S13002552,The Ferry,"20,129"
S13003055,Thorniewood,"14,058"
S13002991,Thurso and Northwest Caithness,"12,057"
S13002840,Tillydrone/Seaton/Old Aberdeen,"13,493"
S13002846,Torry/Ferryhill,"21,304"
S13002910,"Tranent, Wallyford and Macmerry","22,587"
S13003087,Troon,"14,377"
S13003115,Trossachs and Teith,"12,274"
S13002849,Troup,"8,805"
S13002854,Turriff and District,"13,154"
S13002762,Tweeddale East,"11,019"
S13002761,Tweeddale West,"10,664"
S13003143,"Uibhist a Deas, Èirisgeigh agus Beinn na Faoghla","3,067"
S13003144,Uibhist a Tuath,"1,616"
S13002944,Upper Braes,"16,481"
S13002978,Victoria Park,"21,597"
S13002547,West End,"19,695"
S13003131,West Fife and Coastal Villages,"16,094"
S13002857,West Garioch,"11,234"
S13002735,West Mainland,"4,666"
S13002994,"Wester Ross, Strathpeffer and Lochalsh","12,225"
S13002860,Westhill and District,"16,087"
S13002826,Whitburn and Blackburn,"22,537"
S13002992,Wick and East Caithness,"13,290"
S13003062,Wishaw,"17,514"
S13002884,Abbey,"5,435"
S13002862,"Aboyne, Upper Deeside and Donside","5,142"
S13003001,Aird and Loch Ness,"5,920"
S13003050,Airdrie Central,"8,318"
S13003049,Airdrie North,"10,304"
S13003053,Airdrie South,"10,473"
S13002845,Airyhall/Broomhill/Garthdee,"8,552"
S13002919,Almond,"18,994"
S13003071,Almond and Earn,"5,034"
S13002608,An Taobh Siar agus Nis,"1,304"
S13002976,Anderston/City/Yorkhill,"16,607"
S13002891,Annandale East and Eskdale ,"5,101"
S13002890,Annandale North,"7,902"
S13002889,Annandale South,"7,510"
S13002892,Annick,"7,681"
S13002873,Arbroath East and Lunan,"6,649"
S13002872,"Arbroath West, Letham and Friockheim","9,695"
S13003145,Ardrossan,"5,544"
S13002828,Armadale and Blackridge,"8,035"
S13003146,Arran,"2,422"
S13003099,Avondale and Stonehouse,"9,025"
S13003090,Ayr East,"6,435"
S13003089,Ayr North,"8,925"
S13003091,Ayr West,"8,779"
S13003009,Badenoch and Strathspey,"7,160"
S13002986,Baillieston,"11,952"
S13002898,Ballochmyle,"7,195"
S13002863,Banchory and Mid Deeside,"6,137"
S13002848,Banff and District,"5,703"
S13003121,Bannockburn,"5,867"
S13003135,Barraigh agus Bhatarsaigh,685
S13002914,"Barrhead, Liboside and Uplawmoor","9,968"
S13002827,Bathgate,"12,002"
S13002902,Bearsden North,"7,737"
S13002903,Bearsden South,"6,912"
S13003056,Bellshill,"7,651"
S13002904,Bishopbriggs North and Campsie,"9,767"
S13002905,Bishopbriggs South,"8,197"
S13003085,"Bishopton, Bridge of Weir and Langbank","5,143"
S13002998,Black Isle,"5,427"
S13003065,Blairgowrie and Glens,"5,847"
S13003109,Blantyre,"8,383"
S13002940,Bonnybridge and Larbert,"8,779"
S13003019,Bonnyrigg,"9,781"
S13003110,Bothwell and Uddingston,"6,926"
S13002936,Bo’ness and Blackness,"8,013"
S13002868,Brechin and Edzell,"5,629"
S13002836,Bridge of Don,"9,976"
S13002821,"Broxburn, Uphall and Winchburgh","10,088"
S13002966,"Buckhaven, Methil and Wemyss Villages","9,451"
S13003026,Buckie,"5,583"
S13002953,"Burntisland, Kinghorn and Western Kirkcaldy","7,700"
S13002975,Calton,"15,386"
S13003108,Cambuslang East,"8,999"
S13003107,Cambuslang West,"7,143"
S13002982,Canal,"13,262"
S13003000,Caol and Mallaig,"4,290"
S13002970,Cardonald,"15,563"
S13002871,Carnoustie and District,"7,510"
S13003063,Carse of Gowrie,"5,017"
S13002939,"Carse, Kinnaird and Tryst","11,266"
S13002883,Castle Douglas and Crocketford,"4,522"
S13002851,Central Buchan,"7,561"
S13002929,City Centre,"16,887"
S13002877,Clackmannanshire Central,"4,100"
S13002879,Clackmannanshire East,"4,581"
S13002876,Clackmannanshire North,"5,521"
S13002878,Clackmannanshire South,"5,905"
S13002875,Clackmannanshire West,"6,237"
S13002917,"Clarkston, Netherlee and Williamwood","11,193"
S13003126,Clydebank Central,"7,407"
S13003127,Clydebank Waterfront,"7,504"
S13003097,Clydesdale East,"6,485"
S13003096,Clydesdale North,"7,600"
S13003098,Clydesdale South,"7,525"
S13003095,Clydesdale West,"9,998"
S13003048,Coatbridge North,"7,502"
S13003052,Coatbridge South,"8,613"
S13003051,Coatbridge West,"7,917"
S13002548,Coldside,"8,988"
S13002926,Colinton/Fairmilehead,"12,579"
S13002924,Corstorphine/Murrayfield,"12,368"
S13002521,Cowal,"3,416"
S13003128,Cowdenbeath,"11,553"
S13002932,Craigentinny/Duddingston,"15,380"
S13002995,Cromarty Firth,"6,383"
S13003006,Culloden  and Ardersier,"5,301"
S13003045,Cumbernauld East,"8,584"
S13003043,Cumbernauld North,"9,225"
S13003044,Cumbernauld South,"8,086"
S13002899,Cumnock and New Cumnock,"6,696"
S13002964,Cupar,"7,507"
S13003020,Dalkeith,"7,585"
S13002882,Dee and Glenkens,"5,398"
S13002988,Dennistoun,"10,440"
