Code,Name,Population
E05008962,Mannington and Western,"11,104"
E05008963,Old Town,"11,199"
E05008965,Priory Vale,"12,724"
E05008966,Ridgeway,"3,483"
E05008967,Rodbourne Cheney,"12,758"
E05008968,St Andrews,"19,089"
E05008969,St Margaret and South Marston,"11,701"
E05008970,Shaw,"10,879"
E05008971,Walcot and Park North,"13,716"
E05008972,Wroughton and Wichelstowe,"8,254"
E05010755,Blunsdon and Highworth,"11,544"
E05010756,Haydon Wick,"12,044"
E05010757,Penhill and Upper Stratton,"12,737"
E05010805,Barnack,"3,479"
E05010806,Bretton,"10,513"
E05010807,Central,"14,137"
E05010808,Dogsthorpe,"11,163"
E05010809,East,"12,145"
E05010810,"Eye, Thorney and Newborough","10,221"
E05010811,Fletton and Stanground,"11,059"
E05010812,Fletton and Woodston,"11,608"
E05010813,Glinton and Castor,"6,638"
E05010814,Gunthorpe,"9,452"
E05010815,Hampton Vale,"8,366"
E05010816,Hargate and Hempsted,"9,762"
E05010817,North,"11,878"
E05010818,Orton Longueville,"11,129"
E05010819,Orton Waterville,"9,862"
E05010820,Park,"11,557"
E05010821,Paston and Walton,"11,110"
E05010822,Ravensthorpe,"12,462"
E05010823,Stanground South,"10,735"
E05010824,Werrington,"9,926"
E05010825,West,"5,641"
E05010826,Wittering,"3,627"
E05002193,Barnfield,"8,221"
E05002194,Biscot,"16,490"
E05002195,Bramingham,"7,314"
E05002196,Challney,"15,382"
E05002197,Crawley,"8,440"
E05002198,Dallow,"17,860"
E05002199,Farley,"13,578"
E05002200,High Town,"10,982"
E05002201,Icknield,"8,147"
E05002202,Leagrave,"13,886"
E05002203,Lewsey,"13,655"
E05002204,Limbury,"8,628"
E05002205,Northwell,"8,582"
E05002206,Round Green,"12,757"
E05002207,Saints,"16,380"
E05002208,South,"17,658"
E05002209,Stopsley,"7,026"
E05002210,Sundon Park,"8,506"
E05002211,Wigmore,"11,466"
E05002212,Belfairs,"9,386"
E05002213,Blenheim Park,"11,052"
E05002214,Chalkwell,"10,009"
E05002215,Eastwood Park,"9,580"
E05002216,Kursaal,"12,003"
E05002217,Leigh,"9,877"
E05002218,Milton,"11,661"
E05002219,Prittlewell,"10,716"
E05002220,St Laurence,"10,565"
E05002221,St. Luke's,"11,199"
E05002222,Shoeburyness,"11,711"
E05002223,Southchurch,"10,144"
E05002224,Thorpe,"9,166"
E05002225,Victoria,"12,866"
E05002226,Westborough,"11,274"
E05002227,West Leigh,"9,366"
E05002228,West Shoebury,"10,080"
E05002229,Aveley and Uplands,"10,762"
E05002230,Belhus,"10,500"
E05002231,Chadwell St Mary,"10,614"
E05002232,Chafford and North Stifford,"7,987"
E05002233,Corringham and Fobbing,"5,702"
E05002234,East Tilbury,"7,768"
E05002235,Grays Riverside,"13,306"
E05002236,Grays Thurrock,"9,864"
E05002237,Little Thurrock Blackshots,"7,040"
E05002238,Little Thurrock Rectory,"6,339"
E05002239,Ockendon,"11,897"
E05002240,Orsett,"6,437"
E05002241,South Chafford,"7,674"
E05002242,Stanford East and Corringham Town,"8,762"
E05002243,Stanford-le-Hope West,"7,651"
E05002244,Stifford Clays,"6,705"
E05002245,The Homesteads,"8,429"
E05002246,Tilbury Riverside and Thurrock Park,"7,982"
E05002247,Tilbury St Chads,"6,828"
E05002248,West Thurrock and South Stifford,"13,686"
E05002249,Chatham Central,"16,931"
E05002250,Cuxton and Halling,"6,597"
E05002251,Gillingham North,"19,035"
E05002252,Gillingham South,"17,159"
E05002253,Hempstead and Wigmore,"8,097"
E05002254,Lordswood and Capstone,"9,002"
E05002255,Luton and Wayfield,"14,762"
E05002256,Peninsula,"15,937"
E05002257,Princes Park,"10,143"
E05002258,Rainham Central,"12,508"
E05002259,Rainham North,"9,209"
E05002260,Rainham South,"13,586"
E05002261,River,"12,265"
E05002262,Rochester East,"10,750"
E05002263,Rochester South and Horsted,"13,693"
E05002264,Rochester West,"10,987"
E05002265,Strood North,"14,275"
E05002266,Strood Rural,"15,881"
E05002267,Strood South,"16,493"
E05002268,Twydall,"13,447"
E05002269,Walderslade,"9,777"
E05002270,Watling,"9,369"
E05002271,Ascot,"6,028"
E05002272,Binfield with Warfield,"12,118"
E05002273,Bullbrook,"6,938"
E05002274,Central Sandhurst,"5,073"
E05002275,College Town,"6,121"
E05002276,Crown Wood,"7,573"
E05002277,Crowthorne,"6,086"
E05002278,Great Hollands North,"7,961"
E05002279,Great Hollands South,"4,973"
E05002280,Hanworth,"8,058"
E05002281,Harmans Water,"9,241"
E05002282,Little Sandhurst and Wellington,"6,214"
E05002283,Old Bracknell,"5,992"
E05002284,Owlsmoor,"4,973"
E05002285,Priestwood and Garth,"8,644"
E05002286,Warfield Harvest Ride,"8,078"
E05002287,Wildridings and Central,"6,217"
E05002288,Winkfield and Cranbourne,"4,907"
E05012132,Aldermaston,"3,965"
E05012133,Basildon,"3,491"
E05012134,Bradfield,"4,535"
E05012135,Bucklebury,"3,666"
E05012136,Burghfield & Mortimer,"10,765"
E05012137,Chieveley & Cold Ash,"8,300"
E05012138,Downlands,"3,656"
E05012139,Hungerford & Kintbury,"11,349"
E05012140,Lambourn,"4,235"
E05012141,Newbury Central,"7,358"
E05012142,Newbury Clay Hill,"7,671"
E05012143,Newbury Greenham,"12,869"
E05012144,Newbury Speen,"7,621"
E05012145,Newbury Wash Common,"9,337"
E05012146,Pangbourne,"3,795"
E05012147,Ridgeway,"4,292"
E05012148,Thatcham Central,"7,409"
E05012149,Thatcham Colthrop & Crookham,"3,324"
E05012150,Thatcham North East,"7,818"
E05012151,Thatcham West,"7,328"
E05012152,Theale,"3,085"
E05012153,Tilehurst & Purley,"10,668"
E05012154,Tilehurst Birch Copse,"7,939"
E05012155,Tilehurst South & Holybrook,"7,388"
E05013864,Abbey,"9,983"
E05013865,Battle,"11,300"
E05013866,Caversham,"11,436"
E05013867,Caversham Heights,"9,503"
E05013868,Church,"12,110"
E05013869,Coley,"10,917"
E05013870,Emmer Green,"9,607"
E05013871,Katesgrove,"11,792"
E05013872,Kentwood,"9,270"
E05013873,Norcot,"11,518"
E05013874,Park,"11,397"
E05013875,Redlands,"14,463"
E05013876,Southcote,"11,021"
E05013877,Thames,"7,729"
E05013878,Tilehurst,"9,869"
E05013879,Whitley,"11,456"
E05009337,Baylis and Stoke,"10,344"
E05009338,Britwell and Northborough,"11,496"
E05009339,Central,"13,002"
E05009340,Chalvey,"13,475"
E05009341,Cippenham Green,"10,444"
E05009342,Cippenham Meadows,"12,484"
E05009343,Colnbrook with Poyle,"6,417"
E05009344,Elliman,"10,434"
E05009345,Farnham,"11,277"
E05009346,Foxborough,"3,954"
E05009347,Haymill and Lynch Hill,"10,287"
E05009348,Langley Kedermister,"10,634"
E05009349,Langley St Mary's,"11,845"
E05009350,Upton,"10,697"
E05009351,Wexham Lea,"11,658"
E05012494,Ascot & Sunninghill,"12,097"
E05012495,Belmont,"7,209"
E05012496,Bisham & Cookham,"6,901"
E05012497,Boyn Hill,"7,254"
E05012498,Bray,"7,783"
E05012499,Clewer & Dedworth East,"8,123"
E05012500,Clewer & Dedworth West,"7,130"
E05012501,Clewer East,"6,814"
E05012502,Cox Green,"7,697"
E05012503,"Datchet, Horton & Wraysbury","10,733"
E05012504,Eton & Castle,"13,080"
E05012505,Furze Platt,"7,790"
E05012506,Hurley & Walthams,"6,582"
E05012507,Old Windsor,"7,794"
E05012508,Oldfield,"7,228"
E05012509,Pinkneys Green,"7,560"
E05012510,Riverside,"7,957"
E05012511,St Mary's,"7,551"
E05012512,Sunningdale & Cheapside,"6,639"
E05002372,Arborfield,"3,025"
E05002373,Barkham,"4,671"
E05002374,Bulmershe and Whitegates,"9,725"
E05002375,Charvil,"3,160"
E05002376,Coronation,"5,651"
E05002377,Emmbrook,"9,928"
E05002378,Evendons,"9,479"
E05002379,Finchampstead North,"5,541"
E05002380,Finchampstead South,"6,364"
E05002381,Hawkedon,"9,260"
E05002382,Hillside,"8,343"
E05002383,Hurst,"2,913"
E05002384,Loddon,"10,551"
E05002385,Maiden Erlegh,"10,549"
E05002386,Norreys,"11,372"
E05002387,"Remenham, Wargrave and Ruscombe","5,582"
E05002388,Shinfield North,"3,690"
E05002389,Shinfield South,"12,657"
E05002390,Sonning,"3,234"
E05002391,South Lake,"5,880"
E05002392,Swallowfield,"3,566"
E05002393,Twyford,"6,168"
E05002394,Wescott,"7,573"
E05002395,Winnersh,"10,897"
E05002396,Wokingham Without,"8,452"
E05009406,Bletchley East,"18,092"
E05009407,Bletchley Park,"15,951"
E05009408,Bletchley West,"15,105"
E05009409,Bradwell,"13,273"
E05009410,Broughton,"20,572"
E05009411,Campbell Park & Old Woughton,"13,711"
E05009412,Central Milton Keynes,"16,577"
E05009413,Danesborough & Walton,"14,375"
E05009414,Loughton & Shenley,"14,921"
E05009415,Monkston,"13,464"
E05009416,Newport Pagnell North & Hanslope,"13,406"
E05009417,Newport Pagnell South,"11,928"
E05009418,Olney,"12,611"
E05009419,Shenley Brook End,"13,912"
E05009420,Stantonbury,"16,176"
E05009421,Stony Stratford,"16,437"
E05009422,Tattenhoe,"12,834"
E05009423,Wolverton,"16,246"
E05009424,Woughton & Fishermead,"18,721"
E05002420,Brunswick and Adelaide,"9,890"
E05002421,Central Hove,"9,342"
E05002422,East Brighton,"14,139"
E05002423,Goldsmid,"15,879"
E05002424,Hangleton and Knoll,"15,293"
E05002425,Hanover and Elm Grove,"15,847"
E05002426,Hollingdean and Stanmer,"16,736"
E05002427,Moulsecoomb and Bevendean,"16,790"
E05002428,North Portslade,"10,165"
E05002429,Patcham,"14,482"
E05002430,Preston Park,"14,802"
E05002431,Queen's Park,"15,518"
E05002432,Regency,"9,851"
E05002433,Rottingdean Coastal,"14,485"
E05002434,St. Peter's and North Laine,"17,417"
E05002435,South Portslade,"9,884"
E05002436,Hove Park,"11,069"
E05002437,Westbourne,"9,848"
E05002438,Wish,"10,402"
E05002439,Withdean,"14,788"
E05002440,Woodingdean,"9,827"
E05002441,Baffins,"14,960"
E05002442,Central Southsea,"15,787"
E05002443,Charles Dickens,"22,069"
E05002444,Copnor,"13,293"
E05002445,Cosham,"14,466"
E05002446,Drayton and Farlington,"13,748"
E05002447,Eastney and Craneswater,"12,577"
E05002448,Fratton,"15,435"
E05002449,Hilsea,"13,852"
E05002450,Milton,"14,334"
E05002451,Nelson,"15,183"
E05002452,Paulsgrove,"14,605"
E05002453,St Jude,"11,939"
E05002454,St Thomas,"14,871"
E05002455,Bargate,"22,538"
E05002456,Bassett,"14,550"
E05002457,Bevois,"17,999"
E05002458,Bitterne,"14,388"
E05002459,Bitterne Park,"14,160"
E05002460,Coxford,"13,923"
E05002461,Freemantle,"15,971"
E05002462,Harefield,"14,582"
E05002463,Millbrook,"16,028"
E05002464,Peartree,"14,354"
E05002465,Portswood,"14,606"
E05002466,Redbridge,"16,087"
E05002467,Shirley,"15,047"
E05002468,Sholing,"14,066"
E05002469,Swaythling,"13,615"
E05002470,Woolston,"15,758"
E05013359,Bembridge,"3,600"
E05013360,Binstead & Fishbourne,"3,522"
E05013361,Brading & St Helens,"3,400"
E05013362,"Brighstone, Calbourne & Shalfleet","3,036"
E05013363,Carisbrooke & Gunville,"3,610"
E05013364,Central Rural,"3,493"
E05013365,"Chale, Niton & Shorwell","3,496"
E05013366,Cowes Medina,"4,683"
E05013367,Cowes North,"2,786"
E05013368,Cowes South & Northwood,"3,391"
E05013369,Cowes West & Gurnard,"4,072"
E05013370,East Cowes,"4,042"
E05013371,Fairlee & Whippingham,"3,924"
E05013372,Freshwater North & Yarmouth,"3,091"
E05013373,Freshwater South,"3,683"
E05013374,Haylands & Swanmore,"3,735"
E05013375,Lake North,"3,460"
E05013376,Lake South,"3,410"
E05013377,Mountjoy & Shide,"3,859"
E05013378,Nettlestone & Seaview,"2,523"
E05013379,"Newchurch, Havenstreet & Ashey","3,389"
E05013380,Newport Central,"3,766"
E05013381,Newport West,"3,620"
E05013382,Osborne,"4,378"
E05013383,Pan & Barton,"4,247"
E05013384,Parkhurst & Hunnyhill,"4,313"
E05013385,Ryde Appley & Elmfield,"3,803"
E05013386,Ryde Monktonmead,"3,774"
E05013387,Ryde North West,"4,323"
E05013388,Ryde South East,"2,473"
E05013389,Ryde West,"3,238"
E05013390,Sandown North,"3,578"
E05013391,Sandown South,"3,616"
E05013392,Shanklin Central,"4,000"
E05013393,Shanklin South,"3,247"
E05013394,Totland & Colwell,"3,614"
E05013395,Ventnor & St Lawrence,"3,308"
E05013396,Wootton Bridge,"3,376"
E05013397,"Wroxall, Lowtherville & Bonchurch","4,006"
E05009030,Annfield Plain,"8,011"
E05009031,Aycliffe East,"8,284"
E05009032,Aycliffe North and Middridge,"10,806"
E05009033,Aycliffe West,"7,682"
E05009034,Barnard Castle East,"8,328"
E05009035,Barnard Castle West,"8,349"
E05009036,Belmont,"13,553"
E05009037,Benfieldside,"8,188"
E05009038,Bishop Auckland Town,"7,872"
E05009039,Bishop Middleham and Cornforth,"3,696"
E05009040,Blackhalls,"7,883"
E05009041,Brandon,"10,221"
E05009042,Burnopfield and Dipton,"7,870"
E05009043,Chester-le-Street East,"3,464"
E05009044,Chester-le-Street North,"3,784"
E05009045,Chester-le-Street South,"7,282"
E05009046,Chester-le-Street West Central,"7,871"
E05009047,Chilton,"4,731"
E05009048,Consett North,"7,877"
E05009049,Consett South,"5,483"
E05009050,Coundon,"4,335"
E05009051,Coxhoe,"12,999"
E05009052,Craghead and South Moor,"8,404"
E05009053,Crook,"12,310"
E05009054,Dawdon,"8,806"
E05009055,Deerness,"12,851"
E05009056,Delves Lane,"8,337"
E05009057,Deneside,"6,928"
E05009058,Durham South,"1,510"
E05009059,Easington,"7,612"
E05009060,Elvet and Gilesgate,"9,469"
E05009061,Esh and Witton Gilbert,"7,890"
E05009062,Evenwood,"8,091"
E05009063,Ferryhill,"10,873"
E05009064,Framwellgate and Newton Hall,"13,938"
E05009065,Horden,"7,243"
E05009066,Lanchester,"7,636"
E05009067,Leadgate and Medomsley,"8,726"
E05009068,Lumley,"7,313"
E05009069,Murton,"7,604"
E05009070,Neville's Cross,"13,358"
E05009071,North Lodge,"3,933"
E05009072,Passfield,"4,593"
E05009073,Pelton,"12,799"
E05009074,Peterlee East,"7,711"
E05009075,Peterlee West,"8,063"
E05009076,Sacriston,"7,615"
E05009077,Seaham,"6,631"
E05009078,Sedgefield,"8,200"
E05009079,Sherburn,"8,453"
E05009080,Shildon and Dene Valley,"13,562"
E05009081,Shotton and South Hetton,"9,305"
E05009082,Spennymoor,"11,415"
E05009083,Stanley,"8,725"
E05009084,Tanfield,"7,964"
E05009085,Tow Law,"4,699"
E05009086,Trimdon and Thornley,"12,722"
E05009087,Tudhoe,"9,548"
E05009088,Weardale,"7,846"
E05009089,West Auckland,"8,810"
E05009090,Willington and Hunwick,"8,906"
E05009091,Wingate,"4,297"
E05009092,Woodhouse Close,"8,182"
E05008610,Alderley Edge,"4,765"
E05008611,Alsager,"13,546"
E05008612,Audlem,"5,307"
E05008613,Bollington,"8,726"
E05008614,Brereton Rural,"7,522"
E05008615,Broken Cross and Upton,"9,076"
E05008616,Bunbury,"6,047"
E05008617,Chelford,"4,651"
E05008618,Congleton East,"14,337"
E05008619,Congleton West,"14,352"
E05008620,Crewe Central,"6,995"
E05008621,Crewe East,"15,689"
E05008622,Crewe North,"4,834"
E05008623,Crewe St Barnabas,"5,572"
E05008624,Crewe South,"12,450"
E05008625,Crewe West,"10,672"
E05008626,Dane Valley,"10,497"
E05008627,Disley,"4,850"
E05008628,Gawsworth,"4,362"
E05008629,Handforth,"9,855"
E05008630,Haslington,"8,903"
E05008631,High Legh,"4,951"
E05008632,Knutsford,"13,207"
E05008633,Leighton,"6,044"
E05008634,Macclesfield Central,"9,189"
E05008635,Macclesfield East,"4,534"
E05008636,Macclesfield Hurdsfield,"4,563"
E05008637,Macclesfield South,"8,661"
E05008638,Macclesfield Tytherington,"9,105"
E05008639,Macclesfield West and Ivy,"8,207"
E05008640,Middlewich,"14,469"
E05008641,Mobberley,"4,704"
E05008642,Nantwich North and West,"8,666"
E05008643,Nantwich South and Stapeley,"9,773"
E05008644,Odd Rode,"8,368"
E05008645,Poynton East and Pott Shrigley,"7,488"
E05008646,Poynton West and Adlington,"8,535"
E05008647,Prestbury,"4,403"
E05008648,Sandbach Elworth,"5,941"
E05008649,Sandbach Ettiley Heath and Wheelock,"5,820"
E05008650,Sandbach Heath and East,"4,887"
E05008651,Sandbach Town,"5,390"
E05008652,Shavington,"5,664"
E05008653,Sutton,"4,173"
E05008654,Willaston and Rope,"5,367"
E05008655,Wilmslow Dean Row,"5,119"
E05008656,Wilmslow East,"4,460"
E05008657,Wilmslow Lacey Green,"5,016"
E05008658,Wilmslow West and Chorley,"10,171"
E05008659,Wistaston,"9,369"
E05008660,Wrenbury,"5,590"
E05008661,Wybunbury,"5,632"
E05012209,Blacon,"14,049"
E05012210,Central & Grange,"12,538"
E05012211,Chester City & the Garden Quarter,"18,161"
E05012212,Christleton & Huntington,"11,545"
E05012213,"Davenham, Moulton & Kingsmead","10,862"
E05012214,Farndon,"4,885"
E05012215,Frodsham,"9,421"
E05012216,Gowy Rural,"9,227"
E05012217,Great Boughton,"11,092"
E05012218,Handbridge Park,"9,436"
E05012219,Hartford & Greenbank,"8,807"
E05012220,Helsby,"5,296"
E05012221,Lache,"5,958"
E05012222,Ledsham & Manor,"9,449"
E05012223,Little Neston,"4,806"
E05012224,Malpas,"4,987"
E05012225,Marbury,"13,125"
E05012226,Neston,"5,669"
E05012227,Netherpool,"5,490"
E05012228,Newton & Hoole,"14,906"
E05012229,Northwich Leftwich,"4,782"
E05012230,Northwich Winnington & Castle,"9,078"
E05012231,Northwich Witton,"5,170"
E05012232,Parkgate,"5,014"
E05012233,Rudheath,"5,770"
E05012234,Sandstone,"5,021"
E05012235,Saughall & Mollington,"5,252"
E05012236,Shakerley,"5,406"
E05012237,Strawberry,"5,192"
E05012238,Sutton Villages,"11,021"
E05012239,Tarporley,"5,182"
E05012240,Tarvin & Kelsall,"9,332"
E05012241,Tattenhall,"4,976"
E05012242,Upton,"10,371"
E05012243,Weaver & Cuddington,"15,138"
E05012244,Westminster,"5,546"
E05012245,Whitby Groves,"4,234"
E05012246,Whitby Park,"5,416"
E05012247,Willaston & Thornton,"5,210"
E05012248,Winsford Dene,"5,387"
E05012249,Winsford Gravel,"4,102"
E05012250,Winsford Over & Verdin,"15,425"
E05012251,Winsford Swanlow,"4,668"
E05012252,Winsford Wharton,"5,574"
E05012253,Wolverham,"5,754"
E05008136,Abbey,"4,398"
E05008137,Albrighton,"4,780"
E05008138,Alveley and Claverley,"4,218"
E05008139,Bagley,"4,792"
E05008140,Battlefield,"5,953"
E05008141,"Bayston Hill, Column and Sutton","12,527"
E05008142,Belle Vue,"4,386"
E05008143,Bishop's Castle,"3,695"
E05008144,Bowbrook,"4,116"
E05008145,Bridgnorth East and Astley Abbotts,"6,695"
E05008146,Bridgnorth West and Tasley,"6,699"
E05008147,Broseley,"5,095"
E05008148,Brown Clee,"4,536"
E05008149,Burnell,"4,729"
E05008150,Castlefields and Ditherington,"4,739"
E05008151,Cheswardine,"4,316"
E05008152,Chirbury and Worthen,"2,914"
E05008153,Church Stretton and Craven Arms,"8,937"
E05008154,Clee,"4,388"
E05008155,Cleobury Mortimer,"7,476"
E05008156,Clun,"3,783"
E05008157,Copthorne,"4,125"
E05008158,Corvedale,"3,603"
E05008159,Ellesmere Urban,"4,400"
E05008160,Harlescott,"5,095"
E05008161,Highley,"3,743"
E05008162,Hodnet,"4,878"
E05008163,Llanymynech,"4,349"
E05008164,Longden,"4,194"
E05008165,Loton,"4,521"
E05008166,Ludlow East,"3,882"
E05008167,Ludlow North,"3,830"
E05008168,Ludlow South,"4,021"
E05008169,Market Drayton East,"5,465"
E05008170,Market Drayton West,"9,269"
E05008171,Meole,"4,389"
E05008172,Rea Valley,"4,487"
E05008173,Monkmoor,"4,381"
E05008174,Much Wenlock,"4,302"
E05008178,Porthill,"4,702"
E05008179,Prees,"4,547"
E05008180,Quarry and Coton Hill,"4,274"
E05008181,Radbrook,"5,878"
E05008183,St Martin's,"4,624"
E05008186,Severn Valley,"4,870"
E05008187,Shawbury,"4,958"
E05008188,Shifnal North,"6,089"
E05008189,Shifnal South and Cosford,"7,838"
E05008190,Sundorne,"4,148"
E05008191,Tern,"4,898"
E05008192,The Meres,"4,921"
E05008193,Underdale,"4,303"
E05008194,Wem,"8,942"
E05008195,Whitchurch North,"7,467"
E05008196,Whitchurch South,"4,247"
E05008198,Worfield,"3,719"
E05009281,"Gobowen, Selattyn and Weston Rhyn","7,012"
E05009282,Oswestry East,"9,440"
E05009283,Oswestry South,"4,464"
E05009284,Oswestry West,"3,650"
E05009285,Ruyton and Baschurch,"4,339"
E05009286,St Oswald,"4,845"
E05009287,Whittington,"4,388"
E05013273,Bodmin St Mary's & St Leonard,"7,261"
E05013274,Bodmin St Petroc's,"6,929"
E05013275,Bude,"6,306"
E05013276,Callington & St Dominic,"6,896"
E05013277,Calstock,"6,708"
E05013278,Camborne Roskear & Tuckingmill,"7,186"
E05013279,Camborne Trelowarren,"6,223"
E05013280,Camborne West & Treswithian,"6,223"
E05013281,Camelford & Boscastle,"6,889"
E05013282,"Constantine, Mabe & Mawnan","6,593"
E05013284,Falmouth Arwenack,"5,963"
E05013286,Falmouth Penwerris,"7,443"
E05013288,Feock & Kea,"5,360"
E05013289,"Four Lanes, Beacon & Troon","7,072"
E05013290,"Fowey, Tywardreath & Par","5,655"
E05013291,"Gloweth, Malabar & Shortlanesend","5,760"
E05013292,Gwinear-Gwithian & Hayle East,"5,975"
E05013293,Hayle West,"7,495"
E05013295,Helston South & Meneage,"7,524"
E05013297,Land's End,"6,839"
E05013298,"Lanivet, Blisland & Bodmin St Lawrence","6,677"
E05013301,Launceston South,"7,157"
E05013302,Liskeard Central,"7,578"
E05013303,Liskeard South & Dobwalls,"7,427"
E05013305,Looe East & Deviock,"6,387"
E05013306,"Looe West, Pelynt, Lansallos & Lanteglos","5,829"
E05013307,Lostwithiel & Lanreath,"6,168"
E05013308,"Ludgvan, Madron, Gulval & Heamoor","6,905"
E05013309,Lynher,"5,773"
E05013311,"Mousehole, Newlyn & St Buryan","6,029"
E05013312,Mullion & St Keverne,"7,241"
E05013313,"Mylor, Perranarworthal & Ponsanooth","6,528"
E05013314,Newquay Central & Pentire,"6,676"
E05013315,Newquay Porth & Tretherras,"6,632"
E05013317,Padstow,"6,810"
E05013319,Penwithick & Boscoppa,"6,763"
E05013320,Penzance East,"7,146"
E05013321,Penzance Promenade,"5,822"
E05013323,Pool & Tehidy,"7,266"
E05013324,"Porthleven, Breage & Germoe","6,797"
E05013325,Poundstock,"5,381"
E05013327,Rame Peninsula & St Germans,"7,115"
E05013329,Redruth North,"6,011"
E05013330,Redruth South,"6,606"
E05013331,Roche & Bugle,"7,390"
E05013336,St Blazey,"6,970"
E05013337,St Cleer & Menheniot,"6,374"
E05013338,"St Columb Major, St Mawgan & St Wenn","6,222"
E05013341,"St Goran, Tregony & the Roseland","5,691"
E05013346,St Stephen-in-Brannel,"6,934"
E05013347,St Teath & Tintagel,"6,465"
E05013348,Saltash Essa,"6,830"
E05013349,Saltash Tamar,"6,253"
E05013350,Saltash Trematon & Landrake,"5,642"
E05013351,"Stratton, Kilkhampton & Morwenstow","6,651"
E05013353,Torpoint,"6,630"
E05013354,Truro Boscawen & Redannick,"6,306"
E05013355,Truro Moresk & Trehaverne,"6,485"
E05013356,Truro Tregolls,"6,656"
E05013357,Wadebridge East & St Minver,"5,866"
E05013358,Wadebridge West & St Mabyn,"6,962"
E05013836,St Austell Poltair & Mount Charles,"6,979"
E05013837,Altarnun & Stoke Climsland,"6,864"
E05013838,"Crowan, Sithney & Wendron","6,854"
E05013839,Falmouth Boslowick,"6,297"
E05013840,Falmouth Trescobeas & Budock,"5,967"
E05013841,Helston North,"6,428"
E05013842,Illogan & Portreath,"6,534"
E05013843,"Lanner, Stithians & Gwennap","6,676"
E05013844,Launceston North & North Petherwin,"6,943"
E05013845,"Long Rock, Marazion & St Erth","6,890"
E05013846,Mevagissey & St Austell Bay,"5,159"
E05013847,Newquay Trenance,"7,337"
E05013848,Penryn,"7,898"
E05013849,Perranporth,"6,345"
E05013850,Probus & St Erme,"6,732"
E05013851,"Redruth Central, Carharrack & St Day","6,620"
E05013852,St Agnes,"6,661"
E05013853,St Austell Bethel & Holmbush,"6,800"
E05013854,St Austell Central & Gover,"7,059"
E05013855,St Columb Minor & Colan,"5,900"
E05013856,St Dennis & St Enoder,"7,975"
E05013857,"St Ives East, Lelant & Carbis Bay","6,156"
E05013858,St Ives West & Towednack,"6,079"
E05013859,St Mewan & Grampound,"5,514"
E05013860,"St Newlyn East, Cubert & Goonhavern","6,713"
E05013861,Threemilestone & Chacewater,"5,217"
E06000053,Isles of Scilly,"2,271"
E05013398,Aldbourne & Ramsbury,"5,803"
E05013399,Alderbury & Whiteparish,"5,667"
E05013400,Amesbury East & Bulford,"7,045"
E05013401,Amesbury South,"5,477"
E05013402,Amesbury West,"5,966"
E05013403,Avon Valley,"6,479"
E05013405,Box & Colerne,"5,421"
E05013406,Bradford-on-Avon North,"5,425"
E05013407,Bradford-on-Avon South,"5,108"
E05013408,Brinkworth,"4,720"
E05013409,"Bromham, Rowde & Roundway","5,078"
E05013410,By Brook,"4,597"
E05013411,Calne Central,"4,941"
E05013412,Calne Chilvester & Abberd,"6,136"
E05013413,Calne North,"4,917"
E05013414,Calne Rural,"5,483"
E05013415,Calne South,"4,041"
E05013416,Chippenham Cepen Park & Derriads,"5,439"
E05013417,Chippenham Cepen Park & Hunters Moon,"4,506"
E05013418,Chippenham Hardenhuish,"4,742"
E05013419,Chippenham Hardens & Central,"5,140"
E05013420,Chippenham Lowden & Rowden,"3,655"
E05013421,Chippenham Monkton,"2,869"
E05013422,Chippenham Pewsham,"4,918"
E05013423,Chippenham Sheldon,"5,353"
E05013424,Corsham Ladbrook,"5,855"
E05013425,Corsham Pickwick,"5,454"
E05013426,Corsham Without,"4,976"
E05013427,Cricklade & Latton,"5,083"
E05013428,Devizes East,"6,062"
E05013429,Devizes North,"4,055"
E05013430,Devizes Rural West,"4,907"
E05013431,Devizes South,"4,966"
E05013432,Downton & Ebble Valley,"4,992"
E05013433,Durrington,"4,729"
E05013434,Ethandune,"4,644"
E05013435,Fovant & Chalke Valley,"4,420"
E05013436,Hilperton,"4,712"
E05013437,Holt,"4,915"
E05013438,Kington,"5,418"
E05013439,Laverstock,"5,927"
E05013440,Ludgershall North & Rural,"5,418"
E05013441,Lyneham,"7,885"
E05013442,Malmesbury,"6,043"
E05013443,Marlborough East,"5,275"
E05013444,Marlborough West,"6,460"
E05013446,Melksham Forest,"5,283"
E05013447,Melksham South,"4,571"
E05013448,Melksham Without North & Shurnhold,"4,870"
E05013449,Melksham Without West & Rural,"4,708"
E05013450,Mere,"4,440"
E05013451,Minety,"4,887"
E05013452,Nadder Valley,"4,676"
E05013453,Old Sarum & Lower Bourne Valley,"6,413"
E05013455,Pewsey Vale East,"5,584"
E05013457,Purton,"6,848"
E05013458,Redlynch & Landford,"4,710"
E05013459,Royal Wootton Bassett East,"5,327"
E05013460,Royal Wootton Bassett North,"5,446"
E05013461,Royal Wootton Bassett South & West,"5,614"
E05013462,Salisbury Bemerton Heath,"4,472"
E05013463,Salisbury Fisherton & Bemerton Village,"5,915"
E05013464,Salisbury Harnham East,"5,853"
E05013465,Salisbury Harnham West,"3,907"
E05013466,Salisbury Milford,"6,001"
E05013467,Salisbury St Edmund's,"4,687"
E05013468,Salisbury St Francis & Stratford,"5,464"
E05013469,Salisbury St Paul's,"5,526"
E05013470,Sherston,"5,143"
